n_programs,n_positions,n_applicants,interviews_per_spot,max_applications,spots_per_program,simulations_per_s,study_min_signal,applicants_per_position,minimum_unmatched,study_max_signal,result_file_prefix
172.0,7954.0,14514.0,15.0,36.0,46.24418604651163,20.0,0.0,1.824742268041237,6560.0,35.0,heatmap_np172_npos7954_napp14514_ips15_max_app36
615.0,5229.0,8667.0,10.0,5.0,8.502439024390243,20.0,0.0,1.657487091222031,3438.0,4.0,heatmap_np615_npos5229_napp8667_ips10_max_app5
535.0,11100.0,10042.0,20.0,21.0,20.747663551401867,20.0,0.0,0.9046846846846847,0.0,20.0,heatmap_np535_npos11100_napp10042_ips20_max_app21
290.0,1988.0,4230.0,5.0,53.0,6.855172413793103,20.0,0.0,2.1277665995975856,2242.0,40.0,heatmap_np290_npos1988_napp4230_ips5_max_app53
356.0,9054.0,4951.0,7.0,60.0,25.43258426966292,20.0,0.0,0.5468301303291363,0.0,40.0,heatmap_np356_npos9054_napp4951_ips7_max_app60
748.0,6206.0,501.0,12.0,13.0,8.296791443850267,20.0,0.0,0.08072832742507251,0.0,12.0,heatmap_np748_npos6206_napp501_ips12_max_app13
104.0,3136.0,12634.0,13.0,44.0,30.153846153846153,20.0,0.0,4.028698979591836,9498.0,40.0,heatmap_np104_npos3136_napp12634_ips13_max_app44
30.0,11976.0,1219.0,17.0,8.0,399.2,20.0,0.0,0.10178690714762859,0.0,7.0,heatmap_np30_npos11976_napp1219_ips17_max_app8
770.0,2705.0,11561.0,8.0,34.0,3.512987012987013,20.0,0.0,4.273937153419594,8856.0,33.0,heatmap_np770_npos2705_napp11561_ips8_max_app34
480.0,8730.0,5778.0,14.0,49.0,18.1875,20.0,0.0,0.6618556701030928,0.0,40.0,heatmap_np480_npos8730_napp5778_ips14_max_app49
333.0,5858.0,16086.0,11.0,25.0,17.59159159159159,20.0,0.0,2.7459883919426424,10228.0,24.0,heatmap_np333_npos5858_napp16086_ips11_max_app25
214.0,7128.0,10799.0,9.0,32.0,33.308411214953274,20.0,0.0,1.5150112233445567,3671.0,31.0,heatmap_np214_npos7128_napp10799_ips9_max_app32
562.0,3806.0,3126.0,16.0,56.0,6.772241992882562,20.0,0.0,0.8213347346295323,0.0,40.0,heatmap_np562_npos3806_napp3126_ips16_max_app56
692.0,9877.0,15303.0,6.0,41.0,14.273121387283236,20.0,0.0,1.5493570922344841,5426.0,40.0,heatmap_np692_npos9877_napp15303_ips6_max_app41
147.0,964.0,7664.0,19.0,16.0,6.557823129251701,20.0,0.0,7.950207468879668,6700.0,15.0,heatmap_np147_npos964_napp7664_ips19_max_app16
121.0,10448.0,11991.0,12.0,52.0,86.34710743801652,20.0,0.0,1.1476837672281777,1543.0,40.0,heatmap_np121_npos10448_napp11991_ips12_max_app52
667.0,1142.0,2211.0,13.0,19.0,1.712143928035982,20.0,0.0,1.936077057793345,1069.0,18.0,heatmap_np667_npos1142_napp2211_ips13_max_app19
586.0,7295.0,16499.0,7.0,7.0,12.448805460750853,20.0,0.0,2.261686086360521,9204.0,6.0,heatmap_np586_npos7295_napp16499_ips7_max_app7
238.0,4389.0,6753.0,18.0,38.0,18.441176470588236,20.0,0.0,1.5386192754613808,2364.0,37.0,heatmap_np238_npos4389_napp6753_ips18_max_app38
309.0,8551.0,2415.0,20.0,45.0,27.673139158576053,20.0,0.0,0.2824231084083733,0.0,40.0,heatmap_np309_npos8551_napp2415_ips20_max_app45
456.0,5287.0,10650.0,5.0,15.0,11.594298245614034,20.0,0.0,2.014374881785512,5363.0,14.0,heatmap_np456_npos5287_napp10650_ips5_max_app15
795.0,11393.0,6970.0,15.0,26.0,14.330817610062892,20.0,0.0,0.6117791626437286,0.0,25.0,heatmap_np795_npos11393_napp6970_ips15_max_app26
55.0,2538.0,15171.0,10.0,55.0,46.14545454545455,20.0,0.0,5.9775413711583925,12633.0,40.0,heatmap_np55_npos2538_napp15171_ips10_max_app55
78.0,6390.0,8254.0,6.0,23.0,81.92307692307692,20.0,0.0,1.2917057902973397,1864.0,22.0,heatmap_np78_npos6390_napp8254_ips6_max_app23
722.0,3701.0,13540.0,19.0,47.0,5.126038781163435,20.0,0.0,3.6584706835990275,9839.0,40.0,heatmap_np722_npos3701_napp13540_ips19_max_app47
432.0,9631.0,3800.0,9.0,35.0,22.29398148148148,20.0,0.0,0.39455923580105906,0.0,34.0,heatmap_np432_npos9631_napp3800_ips9_max_app35
381.0,554.0,9050.0,16.0,10.0,1.4540682414698163,20.0,0.0,16.335740072202167,8496.0,9.0,heatmap_np381_npos554_napp9050_ips16_max_app10
266.0,10536.0,17813.0,14.0,17.0,39.609022556390975,20.0,0.0,1.690679574791192,7277.0,16.0,heatmap_np266_npos10536_napp17813_ips14_max_app17
511.0,1803.0,5082.0,11.0,43.0,3.528375733855186,20.0,0.0,2.8186356073211316,3279.0,40.0,heatmap_np511_npos1803_napp5082_ips11_max_app43
641.0,7781.0,13345.0,17.0,54.0,12.138845553822152,20.0,0.0,1.7150751831384141,5564.0,40.0,heatmap_np641_npos7781_napp13345_ips17_max_app54
197.0,4652.0,650.0,8.0,30.0,23.614213197969544,20.0,0.0,0.13972484952708514,0.0,29.0,heatmap_np197_npos4652_napp650_ips8_max_app30
187.0,10886.0,6072.0,10.0,45.0,58.213903743315505,20.0,0.0,0.5577806356788536,0.0,40.0,heatmap_np187_npos10886_napp6072_ips10_max_app45
631.0,2200.0,15994.0,15.0,12.0,3.4865293185419968,20.0,0.0,7.27,13794.0,11.0,heatmap_np631_npos2200_napp15994_ips15_max_app12
526.0,8132.0,1618.0,5.0,28.0,15.460076045627376,20.0,0.0,0.19896704377766847,0.0,27.0,heatmap_np526_npos8132_napp1618_ips5_max_app28
281.0,5048.0,11504.0,20.0,59.0,17.964412811387902,20.0,0.0,2.27892234548336,6456.0,40.0,heatmap_np281_npos5048_napp11504_ips20_max_app59
397.0,6039.0,15632.0,18.0,53.0,15.211586901763225,20.0,0.0,2.588508031130982,9593.0,40.0,heatmap_np397_npos6039_napp15632_ips18_max_app53
448.0,3300.0,7537.0,7.0,22.0,7.366071428571429,20.0,0.0,2.283939393939394,4237.0,21.0,heatmap_np448_npos3300_napp7537_ips7_max_app22
714.0,9279.0,11163.0,13.0,5.0,12.995798319327731,20.0,0.0,1.2030391205948916,1884.0,4.0,heatmap_np714_npos9279_napp11163_ips13_max_app5
70.0,154.0,3104.0,12.0,37.0,2.2,20.0,0.0,20.155844155844157,2950.0,36.0,heatmap_np70_npos154_napp3104_ips12_max_app37
45.0,8948.0,9669.0,8.0,16.0,198.84444444444443,20.0,0.0,1.0805766651765758,721.0,15.0,heatmap_np45_npos8948_napp9669_ips8_max_app16
