n_programs,n_positions,n_applicants,interviews_per_spot,max_applications,spots_per_program,simulations_per_s,study_min_signal,applicants_per_position,minimum_unmatched,study_max_signal,result_file_prefix
189,1805,3017,12,40,9.55026455,50,0,1.773662551,1212,39,Anesthesiology
78,195,286,12,40,2.5,50,0,1.833333333,91,39,Child Neurology
14,30,299,12,14,2.142857143,50,0,10.67857143,269,13,Dermatology
292,3068,3753,12,40,10.50684932,50,0,1.285273973,685,39,Emergency Medicine
817,5357,7337,12,40,6.556915545,50,0,1.496736026,1980,39,Family Medicine
758,10941,17131,12,40,14.43403694,50,0,1.614304561,6190,39,Internal Medicine (Categorical)
13,34,110,12,13,2.615384615,50,0,4.230769231,76,12,Medicine-Emergency Med
79,398,599,12,40,5.037974684,50,0,1.516455696,201,39,Medicine-Pediatrics
329,1600,5964,12,40,4.863221884,50,0,4.531914894,4364,39,Medicine-Preliminary (PGY-1 Only)
91,411,2134,12,40,4.516483516,50,0,5.862637363,1723,39,Medicine-Primary
27,52,299,12,27,1.925925926,50,0,11.07407407,247,26,Interventional Radiology (Integrated)
121,268,476,12,40,2.214876033,50,0,1.966942149,208,39,Neurological Surgery
159,932,1776,12,40,5.86163522,50,0,2.233962264,844,39,Neurology
295,1587,2151,12,40,5.379661017,50,0,1.458305085,564,39,Obstetrics-Gynecology
216,929,1590,12,40,4.300925926,50,0,1.840277778,661,39,Orthopaedic Surgery
139,394,552,12,40,2.834532374,50,0,1.985611511,158,39,Otolaryngology
175,622,1018,12,40,3.554285714,50,0,1.939047619,396,39,Pathology
250,3135,3998,12,40,12.54,50,0,1.332666667,863,39,Pediatrics (Categorical)
12,58,601,12,12,4.833333333,50,0,12.52083333,543,11,Pediatrics-Primary
55,240,782,12,40,4.363636364,50,0,3.554545455,542,39,Physical Medicine & Rehab
91,221,396,12,40,2.428571429,50,0,2.175824176,175,39,Plastic Surgery (Integrated)
404,2388,3278,12,40,5.910891089,50,0,1.622772277,890,39,Psychiatry
35,151,1108,12,35,4.314285714,50,0,7.914285714,957,34,Radiology-Diagnostic
377,1778,3305,12,40,4.716180371,50,0,2.191644562,1527,39,Surgery (Categorical)
261,1194,2229,12,40,4.574712644,50,0,2.135057471,1035,39,Surgery-Preliminary (PGY-1 Only)
40,54,130,12,40,1.35,50,0,3.25,76,39,Thoracic Surgery
236,1860,5172,12,40,7.881355932,50,0,3.130750605,3312,39,Transitional (PGY-1 Only)
77,102,172,12,40,1.324675325,50,0,2.233766234,70,39,Vascular Surgery
