n_programs,n_positions,n_applicants,interviews_per_spot,max_applications,spots_per_program,simulations_per_s,study_min_signal,applicants_per_position,minimum_unmatched,study_max_signal,result_file_prefix
189,1805,3017,6,12,9.55026455,10,0,1.773662551,1212,11,Anesthesiology_ma12_ips6
189,1805,3017,16,27,9.55026455,10,0,1.773662551,1212,26,Anesthesiology_ma27_ips16
189,1805,3017,5,37,9.55026455,10,0,1.773662551,1212,36,Anesthesiology_ma37_ips5
189,1805,3017,7,36,9.55026455,10,0,1.773662551,1212,35,Anesthesiology_ma36_ips7
189,1805,3017,16,35,9.55026455,10,0,1.773662551,1212,34,Anesthesiology_ma35_ips16
189,1805,3017,6,17,9.55026455,10,0,1.773662551,1212,16,Anesthesiology_ma17_ips6
189,1805,3017,10,30,9.55026455,10,0,1.773662551,1212,29,Anesthesiology_ma30_ips10
189,1805,3017,16,28,9.55026455,10,0,1.773662551,1212,27,Anesthesiology_ma28_ips16
189,1805,3017,20,5,9.55026455,10,0,1.773662551,1212,4,Anesthesiology_ma5_ips20
189,1805,3017,9,19,9.55026455,10,0,1.773662551,1212,18,Anesthesiology_ma19_ips9
189,1805,3017,6,39,9.55026455,10,0,1.773662551,1212,38,Anesthesiology_ma39_ips6
189,1805,3017,16,31,9.55026455,10,0,1.773662551,1212,30,Anesthesiology_ma31_ips16
189,1805,3017,12,51,9.55026455,10,0,1.773662551,1212,40,Anesthesiology_ma51_ips12
189,1805,3017,12,30,9.55026455,10,0,1.773662551,1212,29,Anesthesiology_ma30_ips12
189,1805,3017,8,29,9.55026455,10,0,1.773662551,1212,28,Anesthesiology_ma29_ips8
189,1805,3017,7,45,9.55026455,10,0,1.773662551,1212,40,Anesthesiology_ma45_ips7
189,1805,3017,5,16,9.55026455,10,0,1.773662551,1212,15,Anesthesiology_ma16_ips5
189,1805,3017,7,39,9.55026455,10,0,1.773662551,1212,38,Anesthesiology_ma39_ips7
189,1805,3017,15,14,9.55026455,10,0,1.773662551,1212,13,Anesthesiology_ma14_ips15
189,1805,3017,19,56,9.55026455,10,0,1.773662551,1212,40,Anesthesiology_ma56_ips19
189,1805,3017,10,22,9.55026455,10,0,1.773662551,1212,21,Anesthesiology_ma22_ips10
189,1805,3017,13,18,9.55026455,10,0,1.773662551,1212,17,Anesthesiology_ma18_ips13
189,1805,3017,15,22,9.55026455,10,0,1.773662551,1212,21,Anesthesiology_ma22_ips15
189,1805,3017,16,48,9.55026455,10,0,1.773662551,1212,40,Anesthesiology_ma48_ips16
189,1805,3017,12,38,9.55026455,10,0,1.773662551,1212,37,Anesthesiology_ma38_ips12
189,1805,3017,18,10,9.55026455,10,0,1.773662551,1212,9,Anesthesiology_ma10_ips18
189,1805,3017,20,35,9.55026455,10,0,1.773662551,1212,34,Anesthesiology_ma35_ips20
189,1805,3017,16,39,9.55026455,10,0,1.773662551,1212,38,Anesthesiology_ma39_ips16
189,1805,3017,6,54,9.55026455,10,0,1.773662551,1212,40,Anesthesiology_ma54_ips6
189,1805,3017,17,6,9.55026455,10,0,1.773662551,1212,5,Anesthesiology_ma6_ips17
78,195,286,20,15,2.5,10,0,1.833333333,91,14,Child Neurology_ma15_ips20
78,195,286,14,37,2.5,10,0,1.833333333,91,36,Child Neurology_ma37_ips14
78,195,286,16,49,2.5,10,0,1.833333333,91,40,Child Neurology_ma49_ips16
78,195,286,9,30,2.5,10,0,1.833333333,91,29,Child Neurology_ma30_ips9
78,195,286,12,16,2.5,10,0,1.833333333,91,15,Child Neurology_ma16_ips12
78,195,286,5,48,2.5,10,0,1.833333333,91,40,Child Neurology_ma48_ips5
78,195,286,8,17,2.5,10,0,1.833333333,91,16,Child Neurology_ma17_ips8
78,195,286,13,23,2.5,10,0,1.833333333,91,22,Child Neurology_ma23_ips13
78,195,286,16,48,2.5,10,0,1.833333333,91,40,Child Neurology_ma48_ips16
78,195,286,5,12,2.5,10,0,1.833333333,91,11,Child Neurology_ma12_ips5
78,195,286,18,35,2.5,10,0,1.833333333,91,34,Child Neurology_ma35_ips18
78,195,286,13,39,2.5,10,0,1.833333333,91,38,Child Neurology_ma39_ips13
78,195,286,18,9,2.5,10,0,1.833333333,91,8,Child Neurology_ma9_ips18
78,195,286,20,50,2.5,10,0,1.833333333,91,40,Child Neurology_ma50_ips20
78,195,286,12,56,2.5,10,0,1.833333333,91,40,Child Neurology_ma56_ips12
78,195,286,5,14,2.5,10,0,1.833333333,91,13,Child Neurology_ma14_ips5
78,195,286,18,37,2.5,10,0,1.833333333,91,36,Child Neurology_ma37_ips18
78,195,286,9,45,2.5,10,0,1.833333333,91,40,Child Neurology_ma45_ips9
78,195,286,16,43,2.5,10,0,1.833333333,91,40,Child Neurology_ma43_ips16
78,195,286,5,30,2.5,10,0,1.833333333,91,29,Child Neurology_ma30_ips5
78,195,286,12,26,2.5,10,0,1.833333333,91,25,Child Neurology_ma26_ips12
78,195,286,6,34,2.5,10,0,1.833333333,91,33,Child Neurology_ma34_ips6
78,195,286,10,16,2.5,10,0,1.833333333,91,15,Child Neurology_ma16_ips10
78,195,286,8,52,2.5,10,0,1.833333333,91,40,Child Neurology_ma52_ips8
78,195,286,12,14,2.5,10,0,1.833333333,91,13,Child Neurology_ma14_ips12
78,195,286,19,45,2.5,10,0,1.833333333,91,40,Child Neurology_ma45_ips19
78,195,286,7,58,2.5,10,0,1.833333333,91,40,Child Neurology_ma58_ips7
78,195,286,20,35,2.5,10,0,1.833333333,91,34,Child Neurology_ma35_ips20
78,195,286,19,13,2.5,10,0,1.833333333,91,12,Child Neurology_ma13_ips19
78,195,286,19,55,2.5,10,0,1.833333333,91,40,Child Neurology_ma55_ips19
14,30,299,20,10,2.142857143,10,0,10.67857143,269,9,Dermatology_ma10_ips20
14,30,299,14,7,2.142857143,10,0,10.67857143,269,6,Dermatology_ma7_ips14
14,30,299,6,12,2.142857143,10,0,10.67857143,269,11,Dermatology_ma12_ips6
14,30,299,17,12,2.142857143,10,0,10.67857143,269,11,Dermatology_ma12_ips17
14,30,299,5,7,2.142857143,10,0,10.67857143,269,6,Dermatology_ma7_ips5
14,30,299,11,13,2.142857143,10,0,10.67857143,269,12,Dermatology_ma13_ips11
14,30,299,19,7,2.142857143,10,0,10.67857143,269,6,Dermatology_ma7_ips19
14,30,299,18,11,2.142857143,10,0,10.67857143,269,10,Dermatology_ma11_ips18
14,30,299,9,5,2.142857143,10,0,10.67857143,269,4,Dermatology_ma5_ips9
14,30,299,16,11,2.142857143,10,0,10.67857143,269,10,Dermatology_ma11_ips16
14,30,299,6,6,2.142857143,10,0,10.67857143,269,5,Dermatology_ma6_ips6
14,30,299,5,13,2.142857143,10,0,10.67857143,269,12,Dermatology_ma13_ips5
14,30,299,10,11,2.142857143,10,0,10.67857143,269,10,Dermatology_ma11_ips10
14,30,299,10,10,2.142857143,10,0,10.67857143,269,9,Dermatology_ma10_ips10
14,30,299,19,6,2.142857143,10,0,10.67857143,269,5,Dermatology_ma6_ips19
14,30,299,14,9,2.142857143,10,0,10.67857143,269,8,Dermatology_ma9_ips14
