n_programs,n_applicants,spots_per_program,interviews_per_spot,simulations_per_s,max_applications,study_min_signal,study_max_signal,result_file_prefix
122,4562,36,14,20,31,3,28,heatmap_np122_pos4400_sppcalc36_na4562_ips14_ma31
185,501,16,10,20,20,3,17,heatmap_np185_pos2999_sppcalc16_na501_ips10_ma20
328,1716,10,16,20,9,3,6,heatmap_np328_pos3301_sppcalc10_na1716_ips16_ma9
50,6219,64,10,20,49,3,40,heatmap_np50_pos3203_sppcalc64_na6219_ips10_ma49
62,2971,25,17,20,59,3,40,heatmap_np62_pos1565_sppcalc25_na2971_ips17_ma59
96,1342,37,15,20,53,3,40,heatmap_np96_pos3589_sppcalc37_na1342_ips15_ma53
98,3579,15,9,20,58,3,40,heatmap_np98_pos1488_sppcalc15_na3579_ips9_ma58
364,7441,4,10,20,41,3,38,heatmap_np364_pos1793_sppcalc4_na7441_ips10_ma41
349,1442,13,6,20,11,3,8,heatmap_np349_pos4855_sppcalc13_na1442_ips6_ma11
113,2624,26,7,20,56,3,40,heatmap_np113_pos3044_sppcalc26_na2624_ips7_ma56
47,8629,40,15,20,10,3,7,heatmap_np47_pos1907_sppcalc40_na8629_ips15_ma10
64,2961,60,10,20,47,3,40,heatmap_np64_pos3843_sppcalc60_na2961_ips10_ma47
96,8091,30,14,20,11,3,8,heatmap_np96_pos2913_sppcalc30_na8091_ips14_ma11
294,3254,9,16,20,43,3,40,heatmap_np294_pos2791_sppcalc9_na3254_ips16_ma43
125,5364,5,5,20,60,3,40,heatmap_np125_pos640_sppcalc5_na5364_ips5_ma60
47,7138,28,10,20,19,3,16,heatmap_np47_pos1326_sppcalc28_na7138_ips10_ma19
82,6790,18,15,20,56,3,40,heatmap_np82_pos1535_sppcalc18_na6790_ips15_ma56
241,9999,2,8,20,34,3,31,heatmap_np241_pos530_sppcalc2_na9999_ips8_ma34
168,629,1,16,20,71,3,40,heatmap_np168_pos119_sppcalc1_na629_ips16_ma71
81,1255,30,16,20,33,3,30,heatmap_np81_pos2469_sppcalc30_na1255_ips16_ma33
157,8364,13,6,20,49,3,40,heatmap_np157_pos2064_sppcalc13_na8364_ips6_ma49
311,1278,11,13,20,63,3,40,heatmap_np311_pos3601_sppcalc11_na1278_ips13_ma63
