n_programs,n_positions,n_applicants,interviews_per_spot,max_applications,applicants_per_position,minimum_unmatched,spots_per_program,simulations_per_s,study_min_signal,study_max_signal,result_file_prefix,best_signal_rpp,reviews_per_program_best_rpp,unmatched_applicants_best_rpp,unfilled_spots_best_rpp,pct_interview_given_signal_best_rpp,pct_interview_given_nosignal_best_rpp,pct_interview_given_application_best_rpp,pct_of_app_match_via_signal_given_matched_best_rpp,best_signal_ua,reviews_per_program_best_ua,unmatched_applicants_best_ua,unfilled_spots_best_ua,pct_interview_given_signal_best_ua,pct_interview_given_nosignal_best_ua,pct_interview_given_application_best_ua,pct_of_app_match_via_signal_given_matched_best_ua,best_signal_ufs,reviews_per_program_best_ufs,unmatched_applicants_best_ufs,unfilled_spots_best_ufs,pct_interview_given_signal_best_ufs,pct_interview_given_nosignal_best_ufs,pct_interview_given_application_best_ufs,pct_of_app_match_via_signal_given_matched_best_ufs,best_signal_pigs,reviews_per_program_best_pigs,unmatched_applicants_best_pigs,unfilled_spots_best_pigs,pct_interview_given_signal_best_pigs,pct_interview_given_nosignal_best_pigs,pct_interview_given_application_best_pigs,pct_of_app_match_via_signal_given_matched_best_pigs,best_signal_pigns,reviews_per_program_best_pigns,unmatched_applicants_best_pigns,unfilled_spots_best_pigns,pct_interview_given_signal_best_pigns,pct_interview_given_nosignal_best_pigns,pct_interview_given_application_best_pigns,pct_of_app_match_via_signal_given_matched_best_pigns,best_signal_piga,reviews_per_program_best_piga,unmatched_applicants_best_piga,unfilled_spots_best_piga,pct_interview_given_signal_best_piga,pct_interview_given_nosignal_best_piga,pct_interview_given_application_best_piga,pct_of_app_match_via_signal_given_matched_best_piga,best_signal_pamgs,reviews_per_program_best_pamgs,unmatched_applicants_best_pamgs,unfilled_spots_best_pamgs,pct_interview_given_signal_best_pamgs,pct_interview_given_nosignal_best_pamgs,pct_interview_given_application_best_pamgs,pct_of_app_match_via_signal_given_matched_best_pamgs
189,1805,3017,6,12,1.773662551,1212,9,10,0,11,Anesthesiology_ma12_ips6,5,80.28253968253969,1212.5,0.5,0.7177593636062313,0.0001231118897675,0.2991382167716274,1.0,2,191.5555555555556,1212.0,0.0,1.0,0.1589658601259529,0.2991382167716274,0.9996675900277008,2,191.5555555555556,1212.0,0.0,1.0,0.1589658601259529,0.2991382167716274,0.9996675900277008,1,191.5555555555556,1213.5,1.5,1.0,0.2354235092054117,0.2991382167716274,0.996119209562403,0,191.5555555555556,1345.2,133.2,0.0,0.2991382167716274,0.2991382167716274,0.0,0,191.5555555555556,1345.2,133.2,0.0,0.2991382167716274,0.2991382167716274,0.0,3,174.2984126984127,1212.0,0.0,0.9913158766987074,0.0684123301292674,0.2991382167716274,1.0
189,1805,3017,16,27,1.773662551,1212,9,10,0,26,Anesthesiology_ma27_ips16,12,192.08412698412693,1212.0,0.0,0.797663241630759,3.093580819798917e-05,0.3545341828404473,1.0,2,431.0,1212.0,0.0,1.0,0.3028969174676831,0.3545341828404473,0.9995567867036012,2,431.0,1212.0,0.0,1.0,0.3028969174676831,0.3545341828404473,0.9995567867036012,1,431.0,1212.2,0.2,1.0,0.3297085744881568,0.3545341828404473,0.9932398910403252,0,431.0,1297.5,85.5,0.0,0.3545341828404473,0.3545341828404473,0.0,0,431.0,1297.5,85.5,0.0,0.3545341828404473,0.3545341828404473,0.0,3,431.0,1212.0,0.0,1.0,0.2738509556955032,0.3545341828404473,1.0
189,1805,3017,5,37,1.773662551,1212,9,10,0,36,Anesthesiology_ma37_ips5,4,71.52857142857142,1212.0,0.0,0.747149486244614,8.437038599451594e-05,0.0808481666950344,1.0,3,305.7021164021164,1212.0,0.0,0.9403049386808088,0.0050137456374661,0.0808481666950344,1.0,3,305.7021164021164,1212.0,0.0,0.9403049386808088,0.0050137456374661,0.0808481666950344,1.0,1,590.6296296296297,1223.4,11.4,1.0,0.055316171325452,0.0808481666950344,0.9991622850210616,0,590.6296296296297,2149.7,937.7,0.0,0.0808481666950344,0.0808481666950344,0.0,0,590.6296296296297,2149.7,937.7,0.0,0.0808481666950344,0.0808481666950344,0.0,2,586.7412698412699,1212.7,0.7,0.9996519721577728,0.0283450920971636,0.0808481666950344,1.0
189,1805,3017,7,36,1.773662551,1212,9,10,0,35,Anesthesiology_ma36_ips7,6,96.03174603174602,1212.0,0.0,0.6979449784554193,8.83880234228262e-06,0.1163315287445217,1.0,3,569.3714285714285,1212.0,0.0,0.9996795934150924,0.0360271592290153,0.1163315287445217,1.0,3,569.3714285714285,1212.0,0.0,0.9996795934150924,0.0360271592290153,0.1163315287445217,1.0,1,574.6666666666667,1216.2,4.2,1.0,0.0910838581372224,0.1163315287445217,0.9958350853431048,0,574.6666666666667,1872.0,660.0,0.0,0.1163315287445217,0.1163315287445217,0.0,0,574.6666666666667,1872.0,660.0,0.0,0.1163315287445217,0.1163315287445217,0.0,3,569.3714285714285,1212.0,0.0,0.9996795934150924,0.0360271592290153,0.1163315287445217,1.0
189,1805,3017,16,35,1.773662551,1212,9,10,0,34,Anesthesiology_ma35_ips16,12,192.9809523809524,1212.0,0.0,0.7976300961219754,3.746883601619806e-05,0.2734977981912022,1.0,3,558.7037037037037,1212.0,0.0,1.0,0.2053882167716274,0.2734977981912022,1.0,3,558.7037037037037,1212.0,0.0,1.0,0.2053882167716274,0.2734977981912022,1.0,1,558.7037037037037,1213.1,1.1,1.0,0.2521300863732963,0.2734977981912022,0.9953979103591928,0,558.7037037037037,1368.7,156.7,0.0,0.2734977981912022,0.2734977981912022,0.0,0,558.7037037037037,1368.7,156.7,0.0,0.2734977981912022,0.2734977981912022,0.0,3,558.7037037037037,1212.0,0.0,1.0,0.2053882167716274,0.2734977981912022,1.0
189,1805,3017,6,17,1.773662551,1212,9,10,0,16,Anesthesiology_ma17_ips6,5,80.44232804232804,1212.0,0.0,0.7177858800132583,6.076676610319302e-05,0.211156388309384,1.0,3,244.95767195767195,1212.0,0.0,0.991735719809966,0.0438893887021165,0.211156388309384,1.0,3,244.95767195767195,1212.0,0.0,0.991735719809966,0.0438893887021165,0.211156388309384,1.0,1,271.3703703703704,1215.5,3.5,1.0,0.1618536625787205,0.211156388309384,0.9943921814195652,0,271.3703703703704,1459.0,247.0,0.0,0.211156388309384,0.211156388309384,0.0,0,271.3703703703704,1459.0,247.0,0.0,0.211156388309384,0.211156388309384,0.0,3,244.95767195767195,1212.0,0.0,0.991735719809966,0.0438893887021165,0.211156388309384,1.0
189,1805,3017,10,30,1.773662551,1212,9,10,0,29,Anesthesiology_ma30_ips10,8,128.67354497354498,1212.0,0.0,0.7477668213457076,2.862566667671076e-05,0.1994254778477516,1.0,3,478.88888888888886,1212.0,0.0,1.0,0.1104727531641684,0.1994254778477516,1.0,3,478.88888888888886,1212.0,0.0,1.0,0.1104727531641684,0.1994254778477516,1.0,1,478.88888888888886,1214.8,2.8,1.0,0.1718194598425016,0.1994254778477516,0.9946177927422738,0,478.88888888888886,1478.7,266.7,0.0,0.1994254778477516,0.1994254778477516,0.0,0,478.88888888888886,1478.7,266.7,0.0,0.1994254778477516,0.1994254778477516,0.0,3,478.88888888888886,1212.0,0.0,1.0,0.1104727531641684,0.1994254778477516,1.0
189,1805,3017,16,28,1.773662551,1212,9,10,0,27,Anesthesiology_ma28_ips16,11,190.6671957671957,1212.0,0.0,0.8682676951818482,0.0012634288053968,0.3418722477390029,1.0,1,446.9629629629629,1212.0,0.0,1.0,0.3174971458034102,0.3418722477390029,0.9942382271468144,1,446.9629629629629,1212.0,0.0,1.0,0.3174971458034102,0.3418722477390029,0.9942382271468144,1,446.9629629629629,1212.0,0.0,1.0,0.3174971458034102,0.3418722477390029,0.9942382271468144,0,446.9629629629629,1294.8,82.8,0.0,0.3418722477390029,0.3418722477390029,0.0,0,446.9629629629629,1294.8,82.8,0.0,0.3418722477390029,0.3418722477390029,0.0,3,446.9629629629629,1212.0,0.0,1.0,0.2628969174676831,0.3418722477390029,1.0
189,1805,3017,20,5,1.773662551,1212,9,10,0,4,Anesthesiology_ma5_ips20,0,79.81481481481481,1212.0,0.0,0.0,1.0,1.0,0.0,0,79.81481481481481,1212.0,0.0,0.0,1.0,1.0,0.0,0,79.81481481481481,1212.0,0.0,0.0,1.0,1.0,0.0,1,79.81481481481481,1212.0,0.0,1.0,1.0,1.0,0.9935180055401662,0,79.81481481481481,1212.0,0.0,0.0,1.0,1.0,0.0,0,79.81481481481481,1212.0,0.0,0.0,1.0,1.0,0.0,3,79.81481481481481,1212.0,0.0,1.0,1.0,1.0,1.0
189,1805,3017,9,19,1.773662551,1212,9,10,0,18,Anesthesiology_ma19_ips9,7,113.0952380952381,1212.0,0.0,0.7689994791420048,0.0001242956579383,0.2833941000994365,1.0,2,303.2962962962964,1212.0,0.0,1.0,0.1990875236405467,0.2833941000994365,0.999612188365651,2,303.2962962962964,1212.0,0.0,1.0,0.1990875236405467,0.2833941000994365,0.999612188365651,1,303.2962962962964,1213.4,1.4,1.0,0.2435826612160719,0.2833941000994365,0.9936241333664618,0,303.2962962962964,1360.9,148.9,0.0,0.2833941000994365,0.2833941000994365,0.0,0,303.2962962962964,1360.9,148.9,0.0,0.2833941000994365,0.2833941000994365,0.0,3,303.2962962962964,1212.0,0.0,1.0,0.1490304938680808,0.2833941000994365,1.0
