,Base Case,Random # of Applications,Random Application Distribution,Random # and Distribution of Applications,Random Program Rank List,Random Applicant Rank List,Random Applicant and Program Rank Lists
Anesthesiology,147.8541798941799,146.10571428571427,149.01037037037037,146.95989417989418,148.57841269841268,147.71301587301588,146.9273015873016
Child Neurology,47.35692307692309,45.994358974358974,48.156410256410254,46.5774358974359,48.05282051282052,47.38307692307692,47.63538461538461
Dermatology,48.42000000000001,49.477142857142866,48.405714285714296,47.23857142857144,51.854285714285716,50.35,52.231428571428566
Emergency Medicine,159.18150684931507,157.0218493150685,159.48075342465754,157.8408904109589,158.5914383561644,159.33575342465755,159.70842465753424
Family Medicine,107.62472460220319,104.31419828641373,107.30014687882498,104.22477356181149,107.03221542227662,107.12291309669523,107.02359853121176
Internal Medicine (Categorical),217.36886543535624,213.31356200527705,218.3229023746702,213.61960422163588,217.68279683377307,218.63918205804748,217.43635883905014
Interventional Radiology (Integrated),37.32222222222222,35.78962962962962,40.418518518518525,39.724444444444444,38.1437037037037,37.535555555555554,38.148888888888884
Medicine-Emergency Med,55.94307692307692,55.96461538461539,46.430769230769236,47.23230769230769,54.6323076923077,57.04307692307693,56.276923076923076
Medicine-Pediatrics,81.88481012658227,79.90531645569621,82.09164556962025,80.51113924050632,81.5832911392405,82.87265822784809,82.44253164556963
Medicine-Preliminary (PGY-1 Only),90.79525835866264,90.63829787234044,90.75379939209728,90.7187841945289,90.83027355623102,90.86948328267479,90.7168389057751
Medicine-Primary,93.80219780219781,93.80219780219781,93.80219780219781,93.80219780219781,93.80219780219781,93.80219780219781,93.80219780219781
Neurological Surgery,45.6697520661157,43.631900826446284,46.16429752066115,44.116859504132236,45.482314049586776,45.51487603305785,45.690578512396705
Neurology,95.41773584905663,93.56364779874215,96.56452830188681,94.06440251572324,96.30075471698113,94.92641509433963,95.55044025157233
Obstetrics-Gynecology,90.34718644067797,89.03898305084745,90.30325423728813,89.06189830508475,90.26488135593222,90.33722033898306,89.98732203389831
Orthopaedic Surgery,76.54231481481482,75.32472222222222,76.07138888888889,75.49083333333333,76.36138888888888,75.95611111111111,76.62898148148147
Otolaryngology,49.90230215827338,48.921438848920864,50.206618705035964,49.195683453237415,50.22302158273382,50.48489208633094,49.90129496402878
Pathology,64.62640000000002,62.586971428571445,64.90582857142857,62.77142857142858,64.31645714285715,64.06491428571428,64.4393142857143
Pediatrics (Categorical),189.76896,185.74759999999998,190.99816,185.04440000000002,189.28359999999998,191.27504000000002,189.73064000000002
Pediatrics-Primary,100.1666666666667,100.1666666666667,100.1666666666667,100.1666666666667,100.1666666666667,100.1666666666667,100.1666666666667
Physical Medicine & Rehab,81.69490909090909,80.35745454545454,84.21672727272727,79.9829090909091,85.56436363636364,84.596,85.3090909090909
Plastic Surgery (Integrated),48.679560439560426,46.74263736263737,49.01142857142857,47.06725274725276,48.308351648351646,48.78219780219781,48.098461538461535
Psychiatry,94.29069306930694,92.49658415841584,94.82633663366337,92.66311881188119,94.35955445544555,94.39613861386137,94.54148514851485
Radiology-Diagnostic,94.97142857142859,94.97142857142859,94.97142857142859,94.97142857142859,94.97142857142859,94.97142857142859,94.97142857142859
Surgery (Categorical),80.9879575596817,80.03968169761274,81.13485411140583,80.36641909814324,80.90557029177718,80.95713527851458,81.38843501326261
Surgery-Preliminary (PGY-1 Only),79.43593869731802,78.62114942528736,79.78498084291188,78.57984674329501,79.83402298850574,79.53954022988506,79.64022988505748
Thoracic Surgery,31.736499999999996,30.942500000000006,32.943000000000005,31.660999999999998,31.798,31.736,31.3675
Transitional (PGY-1 Only),131.62406779661015,131.6142372881356,131.8072881355932,131.75186440677965,131.685,131.68347457627118,131.81898305084744
Vascular Surgery,31.684935064935065,29.86441558441559,32.00883116883117,30.076883116883113,31.016103896103896,31.243116883116883,31.287272727272725
