,Base Case,Random # of Applications,Random Application Distribution,Random # and Distribution of Applications,Random Program Rank List,Random Applicant Rank List,Random Applicant and Program Rank Lists
Anesthesiology,0.7974360107538762,0.7979474307582809,0.7973557249659339,0.7979109643497138,0.7974065480794017,0.7974500055242517,0.7974765219312785
Child Neurology,0.6797435897435896,0.6817809002630125,0.6792599067599069,0.681087953950415,0.6796561771561772,0.6799825174825176,0.67993006993007
Dermatology,0.6003678929765887,0.6002341137123747,0.6007023411371238,0.6009364548494984,0.5991304347826087,0.5995652173913044,0.5990969899665552
Emergency Medicine,0.8170810018651745,0.8197060721786841,0.8170050626165734,0.8195914608948267,0.8170925481836754,0.8170707878141932,0.817033040234479
Family Medicine,0.7950036551971948,0.7965017138970348,0.7950475175635322,0.7965922747554033,0.7950613949223735,0.7950646164521045,0.7951317729564968
Internal Medicine (Categorical),0.8509920287458086,0.8514377477305731,0.8509400112855837,0.8514223525474429,0.8509371574598358,0.850943254269388,0.8509861913749603
Interventional Radiology (Integrated),0.6948717948717948,0.6951170568561874,0.6936454849498327,0.6938461538461539,0.6946711259754739,0.6945819397993311,0.6945150501672243
Medicine-Emergency Med,0.7316727272727271,0.7300363636363636,0.7385454545454544,0.7380727272727272,0.7330545454545455,0.7298909090909094,0.7318545454545454
Medicine-Pediatrics,0.7961068447412353,0.7967529602813541,0.7959031719532554,0.7965974608780807,0.7961402337228713,0.7959465776293823,0.7962036727879799
Medicine-Preliminary (PGY-1 Only),0.6438591549295773,0.6438631790744467,0.6438584842387658,0.6438591549295773,0.6438511066398389,0.6438544600938967,0.6438604963112005
Medicine-Primary,0.577788191190253,0.577788191190253,0.577788191190253,0.577788191190253,0.577788191190253,0.577788191190253,0.577788191190253
Neurological Surgery,0.6128915202444615,0.6716314478798836,0.6122421695951108,0.6702243956032258,0.6130290297937356,0.6128342245989304,0.6127922077922079
Neurology,0.7864541103603605,0.7867058625556932,0.7863809121621622,0.7865709951724736,0.7863992117117117,0.7865554617117119,0.7864541103603605
Obstetrics-Gynecology,0.737143189214319,0.8026122426142376,0.7371858050519138,0.7396152073214801,0.7372005268867194,0.7371470633813729,0.7372044010537735
Orthopaedic Surgery,0.7005194968553461,0.7014099342488207,0.7005886792452829,0.701241592785846,0.7005761006289307,0.7006427672955975,0.7005723270440251
Otolaryngology,0.7127083333333333,0.7754533607099034,0.7124547101449274,0.7147440292790475,0.7126358695652173,0.712427536231884,0.7125664251207731
Pathology,0.7311611001964637,0.7316871172561789,0.7306817288801571,0.7315156439306928,0.7310687622789784,0.7312455795677799,0.7311394891944991
Pediatrics (Categorical),0.85444449497476,0.856189304463723,0.8544895174860155,0.8562166438554475,0.8544640502069218,0.8544272136068034,0.854513165673746
Pediatrics-Primary,0.579034941763727,0.579034941763727,0.579034941763727,0.579034941763727,0.579034941763727,0.579034941763727,0.579034941763727
Physical Medicine & Rehab,0.735606138107417,0.7353299232736574,0.7351764705882354,0.7348542199488491,0.6138064791133846,0.7352378516624042,0.6138107416879796
Plastic Surgery (Integrated),0.6672878787878789,0.6680205684150202,0.6083884297520661,0.6676008306728167,0.6673383838383838,0.6671565656565658,0.6675202020202019
Psychiatry,0.7938033168783626,0.7954062055837448,0.7937589439236784,0.7953465257362634,0.7939014920406012,0.7938060901880303,0.7937711464862167
Radiology-Diagnostic,0.5451263537906137,0.5451263537906137,0.5451263537906137,0.5451263537906137,0.5451263537906137,0.5451263537906137,0.5451263537906137
Surgery (Categorical),0.7169836947386115,0.717487745214845,0.7169198184568835,0.7173752601721601,0.7169823499747856,0.7170018490502607,0.7169285594217516
Surgery-Preliminary (PGY-1 Only),0.7137939285180199,0.7141828665718754,0.7137590349434225,0.7142182293141763,0.7137809680474553,0.7138078859478592,0.713766013658342
Thoracic Surgery,0.5521880341880342,0.5523881765288867,0.5508034188034188,0.5506384871535914,0.5518974358974359,0.5522051282051281,0.5521196581196581
Transitional (PGY-1 Only),0.7192472286671824,0.7192804828114031,0.7192478731631866,0.7192596660138557,0.7192510956432071,0.7192523846352156,0.7192510956432072
Vascular Surgery,0.585106589147287,0.5867991554395213,0.5837209302325581,0.5851078385424112,0.5447137745974956,0.5855910852713179,0.544525939177102
