,Base Case,Random # of Applications,Random Application Distribution,Random # and Distribution of Applications,Random Program Rank List,Random Applicant Rank List,Random Applicant and Program Rank Lists
Anesthesiology,76.84418296320848,68.99221132832774,76.6631090487239,68.77581226065098,76.73075903215116,76.86629101756712,76.98934371892608
Child Neurology,67.71118881118879,57.63881837009887,67.16608391608392,56.81543168640241,67.23671328671328,67.69335664335665,67.52132867132867
Dermatology,83.80602006688963,83.33164888369116,83.81079789775443,84.0844989074247,82.65742952699475,83.16053511705685,82.53129479216435
Emergency Medicine,69.03743671729283,58.57003936581692,68.97922994937382,58.37140519631931,69.15221156408207,69.00743405275779,68.93494537703171
Family Medicine,70.03904865748945,60.63408242700177,70.12940575166961,60.6393980065568,70.20399345781654,70.17874471854981,70.20639225841624
Internal Medicine (Categorical),75.95505224446909,68.00720284552287,75.84951841690501,67.96957447378378,75.92032572529334,75.81453213472652,75.94758624715428
Interventional Radiology (Integrated),87.51765143069493,86.54761208699115,86.48210082992692,85.11610867338868,87.24290846029977,87.44630248978075,87.24117428465254
Medicine-Emergency Med,49.142657342657344,48.85555211877513,57.790209790209786,56.82604415693996,50.334265734265735,48.14265734265734,48.83916083916084
Medicine-Pediatrics,73.00125208681135,64.24878800235604,72.9330550918197,63.96099407318428,73.10066777963273,72.67554257095158,72.81736227045074
Medicine-Preliminary (PGY-1 Only),87.47835345405768,83.04407426217841,87.48407109322602,83.03516415258125,87.47352448021462,87.46811703554661,87.48916834339369
Medicine-Primary,90.0,86.45085817051664,90.0,86.44009208537277,90.0,90.0,90.0
Neurological Surgery,70.97668067226891,62.458134405092565,70.6623949579832,62.185906154369256,71.09579831932773,71.0751050420168,70.96344537815125
Neurology,78.64383445945946,71.62268518783449,78.38716216216216,71.49494022343217,78.44619932432433,78.75380067567568,78.61413288288287
Obstetrics-Gynecology,69.02322175732218,58.62624614284432,69.03828451882845,58.56387956722527,69.0514411901441,69.02663877266387,69.14660622966062
Orthopaedic Surgery,74.00449685534592,65.40262954764381,74.16443396226416,65.21256237559548,74.06594339622642,74.20358490566038,73.97506289308177
Otolaryngology,68.58505434782607,58.23775213660516,68.39347826086956,57.939217242079216,68.38315217391303,68.21829710144927,68.5856884057971
Pathology,72.225884086444,63.55672559139898,72.1057956777996,63.344625257605365,72.35908644400784,72.46719056974459,72.30628683693516
Pediatrics (Categorical),70.33376688344171,60.59934735130861,70.14160830415207,60.810423874406574,70.40964232116059,70.09832416208104,70.33975737868934
Pediatrics-Primary,83.33333333333333,83.27787114222436,83.33333333333333,83.27815030188364,83.33333333333333,83.33333333333333,83.33333333333333
Physical Medicine & Rehab,85.63548593350384,80.75166606710607,85.1920716112532,80.8389289808662,84.95511508951407,85.12538363171355,85.0
Plastic Surgery (Integrated),72.0338383838384,63.68676356843935,71.84318181818183,63.11407361477117,72.24709595959597,71.97487373737374,72.36767676767677
Psychiatry,70.94765100671141,61.33049132475432,70.78261134838316,61.3232972276801,70.92643380109823,70.91516168395364,70.87037827943868
Radiology-Diagnostic,91.42857142857143,89.01085095817842,91.42857142857143,88.99946784429282,91.42857142857143,91.42857142857143,91.42857142857143
Surgery (Categorical),76.90434190620272,69.08903762138011,76.86245083207261,68.93077783034917,76.92783661119518,76.91313161875946,76.79013615733736
Surgery-Preliminary (PGY-1 Only),76.74654553611484,68.74757079273488,76.64436967249888,68.814401246126,76.6300134589502,76.71621803499326,76.68674293405114
Thoracic Surgery,75.58730769230769,66.45563102007186,74.65923076923076,65.47083490105625,75.54,75.58769230769231,75.87115384615385
Transitional (PGY-1 Only),84.98488012374324,79.667638348084,84.96397911832946,79.63419489039248,84.97792923433873,84.97810324825987,84.96264501160093
Vascular Surgery,64.53866279069767,54.629289832254095,64.17616279069767,54.62556964902176,65.28720930232558,65.03313953488372,64.98372093023256
