,Base Case,Random # of Applications,Random Application Distribution,Random # and Distribution of Applications,Random Program Rank List,Random Applicant Rank List,Random Applicant and Program Rank Lists
Anesthesiology,0.0,0.0,0.6,0.32,0.0,0.22,0.0
Child Neurology,0.62,0.72,13.08,11.6,0.02,4.7,0.0
Dermatology,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emergency Medicine,0.16,0.02,106.56,104.66,2.24,64.2,0.0
Family Medicine,1.58,1.86,107.96,105.38,0.0,40.02,0.0
Internal Medicine (Categorical),0.0,0.0,0.24,0.14,0.0,0.44,0.0
Interventional Radiology (Integrated),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medicine-Emergency Med,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medicine-Pediatrics,0.0,0.0,1.34,1.5,0.0,1.18,0.0
Medicine-Preliminary (PGY-1 Only),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medicine-Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neurological Surgery,0.6,0.1,11.1,6.16,0.0,4.16,0.0
Neurology,0.0,0.0,0.34,0.3,0.0,0.08,0.0
Obstetrics-Gynecology,0.48,0.52,71.86,73.18,0.0,34.46,0.0
Orthopaedic Surgery,0.0,0.02,9.52,10.54,0.0,3.7,0.0
Otolaryngology,1.36,0.76,21.4,20.22,0.0,10.28,0.0
Pathology,0.18,0.22,11.96,10.3,0.0,3.78,0.0
Pediatrics (Categorical),0.0,0.0,32.46,29.16,0.0,14.82,0.0
Pediatrics-Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Physical Medicine & Rehab,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plastic Surgery (Integrated),0.08,0.14,10.4,5.3,0.0,1.7,0.0
Psychiatry,0.8,0.4,43.72,40.7,0.0,18.48,0.0
Radiology-Diagnostic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surgery (Categorical),0.08,0.06,6.18,6.88,0.0,2.4,0.0
Surgery-Preliminary (PGY-1 Only),0.0,0.0,5.46,4.66,0.0,1.4,0.0
Thoracic Surgery,0.06,0.02,1.72,1.6,0.0,0.62,0.0
Transitional (PGY-1 Only),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vascular Surgery,0.8,0.66,9.34,9.14,0.02,2.8,0.0
