n_programs,n_positions,n_applicants,interviews_per_spot,max_applications,result_file_prefix,signal_value,reviews
189,1805,3017,6,12,Anesthesiology_ma12_ips6,0,191.5555555555556
189,1805,3017,6,12,Anesthesiology_ma12_ips6,1,191.5555555555556
189,1805,3017,6,12,Anesthesiology_ma12_ips6,2,191.5555555555556
189,1805,3017,6,12,Anesthesiology_ma12_ips6,3,174.2984126984127
189,1805,3017,6,12,Anesthesiology_ma12_ips6,4,88.84126984126985
189,1805,3017,6,12,Anesthesiology_ma12_ips6,5,80.28253968253969
189,1805,3017,6,12,Anesthesiology_ma12_ips6,6,95.77777777777774
189,1805,3017,6,12,Anesthesiology_ma12_ips6,7,111.74074074074076
189,1805,3017,6,12,Anesthesiology_ma12_ips6,8,127.70370370370372
189,1805,3017,6,12,Anesthesiology_ma12_ips6,9,143.66666666666669
189,1805,3017,6,12,Anesthesiology_ma12_ips6,10,159.62962962962962
189,1805,3017,6,12,Anesthesiology_ma12_ips6,11,175.59259259259258
189,1805,3017,16,27,Anesthesiology_ma27_ips16,0,431.0
189,1805,3017,16,27,Anesthesiology_ma27_ips16,1,431.0
189,1805,3017,16,27,Anesthesiology_ma27_ips16,2,431.0
189,1805,3017,16,27,Anesthesiology_ma27_ips16,3,431.0
189,1805,3017,16,27,Anesthesiology_ma27_ips16,4,431.0
189,1805,3017,16,27,Anesthesiology_ma27_ips16,5,431.0
189,1805,3017,16,27,Anesthesiology_ma27_ips16,6,431.0
189,1805,3017,16,27,Anesthesiology_ma27_ips16,7,431.0
189,1805,3017,16,27,Anesthesiology_ma27_ips16,8,420.1084656084657
189,1805,3017,16,27,Anesthesiology_ma27_ips16,9,356.2920634920635
189,1805,3017,16,27,Anesthesiology_ma27_ips16,10,247.9873015873016
189,1805,3017,16,27,Anesthesiology_ma27_ips16,11,192.33862433862436
189,1805,3017,16,27,Anesthesiology_ma27_ips16,12,192.084126984127
189,1805,3017,16,27,Anesthesiology_ma27_ips16,13,207.64232804232802
189,1805,3017,16,27,Anesthesiology_ma27_ips16,14,223.48148148148147
189,1805,3017,16,27,Anesthesiology_ma27_ips16,15,239.44444444444449
189,1805,3017,16,27,Anesthesiology_ma27_ips16,16,255.40740740740745
189,1805,3017,16,27,Anesthesiology_ma27_ips16,17,271.3703703703704
189,1805,3017,16,27,Anesthesiology_ma27_ips16,18,287.33333333333337
189,1805,3017,16,27,Anesthesiology_ma27_ips16,19,303.29629629629636
189,1805,3017,16,27,Anesthesiology_ma27_ips16,20,319.25925925925924
189,1805,3017,16,27,Anesthesiology_ma27_ips16,21,335.22222222222223
189,1805,3017,16,27,Anesthesiology_ma27_ips16,22,351.1851851851852
189,1805,3017,16,27,Anesthesiology_ma27_ips16,23,367.14814814814815
189,1805,3017,16,27,Anesthesiology_ma27_ips16,24,383.11111111111114
189,1805,3017,16,27,Anesthesiology_ma27_ips16,25,399.074074074074
189,1805,3017,16,27,Anesthesiology_ma27_ips16,26,415.03703703703707
189,1805,3017,5,37,Anesthesiology_ma37_ips5,0,590.6296296296297
189,1805,3017,5,37,Anesthesiology_ma37_ips5,1,590.6296296296297
189,1805,3017,5,37,Anesthesiology_ma37_ips5,2,586.7412698412699
189,1805,3017,5,37,Anesthesiology_ma37_ips5,3,305.7021164021164
189,1805,3017,5,37,Anesthesiology_ma37_ips5,4,71.52857142857142
189,1805,3017,5,37,Anesthesiology_ma37_ips5,5,80.105291005291
