n_programs,n_positions,n_applicants,interviews_per_spot,max_applications,reviews_per_program_best_rpp
172,6629,14514,15,36,675.0697674418604
615,4358,8667,10,5,69.88333333333333
535,9251,10042,20,21,368.5067289719626
290,1658,4230,5,53,44.00913793103448
356,7546,4951,7,60,183.60266853932583
748,5173,501,12,13,8.7072192513369
104,2614,12634,13,44,434.00336538461545
30,9980,1219,17,8,325.06666666666666
770,2256,11561,8,34,30.75896103896104
480,7275,5778,14,49,246.74354166666663
333,4882,16086,11,25,194.6037537537537
214,5941,10799,9,32,303.0822429906542
562,3173,3126,16,56,103.36654804270464
692,8231,15303,6,41,92.67413294797689
147,805,7664,19,16,156.4081632653061
121,8707,11991,12,52,990.9917355371902
667,953,2211,13,19,21.705322338830587
586,6080,16499,7,7,89.73515358361774
238,3658,6753,18,38,315.0611344537816
309,7126,2415,20,45,351.6990291262136
456,4407,10650,5,15,70.16140350877193
795,9495,6970,15,26,186.1885534591195
78,5326,8254,6,23,529.1025641025642
722,3085,13540,19,47,112.62742382271468
432,8026,3800,9,35,189.1700231481481
381,463,9050,16,10,31.760892388451445
266,8780,17813,14,17,536.0678571428572
511,1504,5082,11,43,40.08131115459882
641,6484,13345,17,54,210.346255850234
197,3878,650,8,30,98.98477157360408
187,9072,6072,10,45,546.4783422459893
631,1834,15994,15,12,50.93573692551506
526,6777,1618,5,28,70.24543726235743
281,4207,11504,20,59,331.97046263345203
397,5033,15632,18,53,275.62720403022666
448,2751,7537,7,22,67.56886160714286
714,7733,11163,13,5,78.17226890756301
70,130,3104,12,37,44.34285714285714
45,7457,9669,8,16,1504.0666666666664
785,4698,4243,17,40,106.15815286624203
471,9826,14176,11,56,272.2519108280255
324,2408,8785,14,31,135.90092592592592
255,8374,93,16,24,8.75294117647059
602,659,12682,9,50,22.273089700996675
658,5748,4648,19,33,174.32158054711243
113,3364,17204,6,9,304.49557522123894
137,6233,3532,13,57,645.705109489051
682,3503,9519,12,26,84.37976539589441
577,8523,8092,18,14,196.33968804159448
229,1134,14045,7,46,61.331877729257656
349,9687,13113,5,39,187.865329512894
496,1922,1085,20,6,13.125
761,6981,17616,10,20,117.3929040735874
94,7877,16688,19,29,1775.3191489361702
422,5503,12215,16,42,260.73151658767773
371,2905,1767,9,18,72.47843665768195
306,6296,7124,11,11,255.5266339869281
551,4064,14657,14,35,133.36597096188748
607,8918,2674,8,48,132.9007413509061
163,1363,10171,17,23,187.1963190184049
168,7739,3282,6,12,234.42857142857144
547,5136,7789,9,59,114.04908592321756
298,2728,15462,16,29,207.54362416107384
379,6822,11686,14,21,297.42889182058053
427,4087,1378,11,52,116.74074941451993
730,9215,16242,17,38,247.08246575342469
89,1772,5900,8,5,198.876404494382
757,3370,4830,13,16,65.94828269484807
504,8351,12510,7,31,149.05079365079365
354,762,340,18,57,43.45847457627119
224,9705,8542,20,49,934.5125000000002
569,2453,14354,5,24,50.45342706502637
687,7395,4074,15,9,53.37117903930131
145,4841,9922,10,33,410.56551724137927
121,6929,5243,17,27,1025.7272727272723
663,4682,17938,8,58,82.98197586727
595,9537,770,14,46,59.52941176470588
250,1997,13502,11,13,108.71760000000002
328,8510,13660,9,7,291.5243902439024
478,1228,8410,16,39,53.11600418410042
781,6122,9211,6,50,63.18738796414853
38,3538,3925,19,19,1678.4473684210527
65,9051,10490,15,55,2267.602307692308
706,1311,2289,10,29,19.324645892351278
452,6371,15050,20,18,332.89325221238937
405,3914,6815,5,41,68.6232098765432
273,5598,2090,7,35,164.48113553113555
521,2891,11836,18,11,114.88570057581572
639,7912,6593,12,22,167.60868544600936
192,499,16373,13,48,85.27604166666669
202,5303,12804,19,6,380.3168316831682
648,2560,248,6,37,14.046219135802469
507,7618,17363,16,53,298.65157790927026
388,9343,4403,11,28,285.4346649484536
436,1642,9794,14,60,67.54094036697248
715,6661,8907,8,43,100.27440559440558
73,4245,14332,17,13,1177.972602739726
47,8176,7416,13,34,2392.6212765957443
791,935,15475,12,9,23.863147914032872
464,5788,2943,18,25,158.56681034482756
314,3245,11039,7,49,105.73343949044586
234,7259,15834,5,56,204.53760683760683
578,4974,5948,20,32,188.58434256055364
671,9867,11383,10,15,166.55827123695977
129,2289,1462,15,41,286.81511627906974
154,9410,14782,8,19,575.922077922078
697,2121,7285,17,51,74.67589670014347
554,7101,10328,11,39,168.58772563176896
210,4508,2794,14,8,106.43809523809526
338,5957,6360,16,14,263.431952662722
487,3701,16808,9,45,103.5400410677618
765,8642,1892,19,59,145.918954248366
99,6488,959,10,47,455.2828282828284
740,3794,12953,15,23,105.2462837837838
412,8881,5467,5,10,128.2700242718447
364,1479,17495,20,36,144.18956043956044
282,8069,9364,18,43,568.8492907801418
623,5466,13919,13,30,135.48475120385234
177,3020,7932,12,54,268.8813559322034
182,9771,9257,14,29,816.9082417582418
625,2384,3867,11,59,51.1804
532,7481,13746,17,44,285.81531954887225
286,4752,8319,8,12,157.87237762237763
366,5732,858,6,5,11.721311475409836
417,3301,13412,19,37,171.94196642685853
744,8437,5288,9,52,124.89455645161289
100,674,17878,16,21,178.78000000000003
767,4154,16423,5,31,43.592242503259456
489,9125,1997,15,16,65.34151329243353
342,1859,11917,10,40,75.72909356725147
212,7669,14955,12,33,495.5752358490568
701,5047,10436,7,24,74.66305278174036
156,2815,2342,18,49,363.5935897435898
130,5527,16291,9,14,501.26153846153846
676,2960,5843,16,46,87.86020710059172
583,7823,11768,6,58,110.95608919382504
236,586,1286,19,27,52.90233050847458
318,8981,7869,17,20,494.76336477987417
465,1379,15367,8,50,33.56559139784945
792,6281,3333,14,39,116.0965909090909
53,4001,10866,11,7,1127.0103773584908
75,8577,4016,7,41,885.524
719,1159,9969,18,18,31.772114047287904
441,6208,8451,12,30,204.5378684807256
390,3450,14439,13,55,148.09230769230768
262,6995,12420,15,47,474.0458015267176
508,4613,427,10,22,18.492125984251967
650,9623,16904,20,11,286.0676923076924
207,1908,4875,5,35,71.22198067632851
191,7329,1983,11,21,218.0261780104712
634,4906,12291,14,53,135.98722397476337
516,9956,6418,8,37,184.45891472868217
271,2201,16761,17,6,185.5461254612546
400,8246,10388,19,13,337.61
451,867,2750,6,43,16.659756097560976
704,5878,14871,16,60,169.39055397727276
60,3158,7197,9,28,599.75
776,1711,8025,20,25,59.89626288659794
473,6576,9314,10,9,168.58900634249474
326,4333,3467,15,34,226.09585889570556
246,5237,5415,13,40,316.64959349593494
593,2628,17549,12,15,82.96956155143339
661,7532,880,18,32,42.60211800302571
115,255,13048,7,56,113.46086956521738
139,8003,8999,16,8,517.9280575539567
568,5380,4460,19,51,201.0216549295775
220,3109,9745,6,19,132.8863636363636
352,6422,17418,8,26,197.93181818181816
499,3863,4721,17,58,150.17855711422845
752,8795,12898,11,45,155.53065159574467
84,6027,11299,18,36,1407.3047619047618
728,3634,1554,7,11,23.42891483516484
426,8732,15787,13,23,304.24941314554
375,1006,6005,12,47,48.13226666666666
296,9481,2899,10,54,356.39206081081085
542,2052,11099,15,31,68.27841328413282
610,7190,7329,5,17,74.09286885245902
167,4421,15565,20,42,652.4251497005988
